日期,目标股票,排除股票
2025-06-16,"600418.SH,603722.SH,603758.SH,603657.SH,002449.SZ",
2025-06-17,"603353.SH,002246.SZ,601069.SH,002449.SZ",
2025-06-17,"600570.SH,002449.SZ,601069.SH,002558.SZ",
2025-06-17,"002558.SZ,600570.SH,002449.SZ,601069.SH",
2025-06-18,002449.SZ,
2025-06-19,"002384.SZ,002213.SZ,002855.SZ,603332.SH,002769.SZ,003036.SZ,002374.SZ,002537.SZ,605398.SH,600478.SH,002150.SZ,002676.SZ,003040.SZ",
2025-06-20,"603332.SH,002769.SZ,003040.SZ,600227.SH,600478.SH,002676.SZ,002213.SZ,002855.SZ,002374.SZ,002150.SZ",
2025-06-22,"000159.SZ,000968.SZ,002476.SZ,002676.SZ,002805.SZ,600113.SH,603685.SH,603823.SH,605298.SH",
2025-06-22,"000159.SZ,000968.SZ,002476.SZ,002676.SZ,002805.SZ,600113.SH,603685.SH,603823.SH,605298.SH",
2025-06-23 23:06,"000159.SZ,000968.SZ,000995.SZ,002067.SZ,002272.SZ,002476.SZ,002506.SZ,002805.SZ,002930.SZ,003040.SZ,601908.SH,603161.SH,603823.SH",
2025-06-24 09:21,"000159.SZ,000968.SZ,000995.SZ,002067.SZ,002272.SZ,002476.SZ,002506.SZ,002805.SZ,002930.SZ,003040.SZ,601908.SH,603161.SH,603823.SH",
2025-06-24 09:33,"000159.SZ,000968.SZ,000995.SZ,002067.SZ,002272.SZ,002476.SZ,002506.SZ,002805.SZ,002930.SZ,003040.SZ,601908.SH,603161.SH,603823.SH",
2025-06-24 14:56,"000159.SZ,000968.SZ,000995.SZ,002067.SZ,002272.SZ,002476.SZ,002506.SZ,002805.SZ,002930.SZ,003040.SZ,601908.SH,603161.SH,603823.SH",
2025-06-25 10:22,"000561.SZ,000633.SZ,000995.SZ,002067.SZ,002213.SZ,002272.SZ,002506.SZ,002579.SZ,002824.SZ,003015.SZ,003026.SZ,600201.SH,600698.SH,600955.SH,601908.SH,603033.SH,603578.SH,603716.SH,603880.SH","sz000555,sz000890,sz002015,sz002094,sz002104,sz002177,sz002609,sz002657,sz002878,sz002987,sz003040,sh600446,sh600551,sh600571,sh600666,sh600800,sh603800"
2025-06-25 16:01,"000016.SZ,000065.SZ,000561.SZ,000572.SZ,000633.SZ,002210.SZ,002227.SZ,002281.SZ,002355.SZ,002453.SZ,002824.SZ,003015.SZ,003026.SZ,600201.SH,600592.SH,600698.SH,600955.SH,601177.SH,601606.SH,603032.SH,603033.SH,603119.SH,603212.SH,603226.SH,603258.SH,603275.SH,603578.SH,603716.SH,603880.SH,603920.SH,603980.SH,605398.SH","sz000555,sz000890,sz002015,sz002094,sz002104,sz002177,sz002609,sz002657,sz002878,sz003040,sh600446,sh600551,sh600571,sh600666,sh600800,sh603637,sh603800"
2025-06-25 16:09,"000016.SZ,000065.SZ,000561.SZ,000572.SZ,002210.SZ,002227.SZ,002281.SZ,002355.SZ,002453.SZ,002824.SZ,003015.SZ,003026.SZ,600201.SH,600592.SH,600698.SH,600955.SH,601177.SH,601606.SH,603032.SH,603033.SH,603119.SH,603212.SH,603226.SH,603258.SH,603275.SH,603578.SH,603716.SH,603880.SH,603920.SH,603980.SH,605398.SH","sz000555,sz000633,sz000890,sz002015,sz002094,sz002104,sz002177,sz002609,sz002657,sz002878,sz003040,sh600446,sh600551,sh600571,sh600666,sh600800,sh603637,sh603800"
2025-06-26 10:19,"002281.SZ,603920.SH,600592.SH","sz000554,sz000637,sz000890,sz002015,sz002094,sz002177,sz002207,sz002609,sz002657,sz002878,sz003040,sh600446,sh600551,sh600571,sh600666,sh603209,sh603637,sh603800"
2025-06-26 09:27,"000016.SZ,000065.SZ,000555.SZ,000561.SZ,000572.SZ,000633.SZ,002104.SZ,002210.SZ,002227.SZ,002281.SZ,002355.SZ,002453.SZ,002824.SZ,003015.SZ,003026.SZ,600201.SH,600592.SH,600698.SH,600800.SH,600955.SH,601177.SH,601606.SH,603032.SH,603033.SH,603119.SH,603212.SH,603226.SH,603258.SH,603275.SH,603578.SH,603716.SH,603880.SH,603920.SH,603980.SH,605398.SH","sz000554,sz000637,sz000890,sz002015,sz002094,sz002177,sz002207,sz002609,sz002657,sz002878,sz003040,sh600446,sh600551,sh600571,sh600666,sh603209,sh603637,sh603800"
2025-06-26 09:35,"000016.SZ,000065.SZ,000555.SZ,000561.SZ,000572.SZ,000633.SZ,002104.SZ,002210.SZ,002227.SZ,002281.SZ,002355.SZ,002453.SZ,002824.SZ,003015.SZ,003026.SZ,600201.SH,600592.SH,600698.SH,600800.SH,600955.SH,601177.SH,601606.SH,603032.SH,603033.SH,603119.SH,603212.SH,603226.SH,603258.SH,603275.SH,603578.SH,603716.SH,603880.SH,603920.SH,603980.SH,605398.SH","sz000554,sz000637,sz000890,sz002015,sz002094,sz002177,sz002207,sz002609,sz002657,sz002878,sz003040,sh600446,sh600551,sh600571,sh600666,sh603209,sh603637,sh603800"
